source_month,member_casual,count
2025-01,casual,2423
2025-01,member,2448
2025-02,casual,2429
2025-02,member,2443
2025-03,casual,2435
2025-03,member,2439
2025-04,casual,2414
2025-04,member,2433
2025-05,casual,2424
2025-05,member,2438
2025-06,casual,2422
2025-06,member,2437
2025-07,casual,2419
2025-07,member,2421
2025-08,casual,2433
2025-08,member,2453
2025-09,casual,2428
2025-09,member,2468
2025-10,casual,2406
2025-10,member,2460
2025-11,casual,2413
2025-11,member,2459
2025-12,casual,2397
2025-12,member,2463
