feature,feature_cn,importance_mean,importance_std
end_station_id,终点站点编号,0.02253333333333336,0.0037821216855680787
speed_kmh,估算骑行速度,0.019966666666666688,0.002675817632051933
start_grid,起点空间网格,0.018900000000000028,0.00305068298363936
end_station_missing,终点站点是否缺失,0.016000000000000014,0.001766981104093118
end_grid,终点空间网格,0.015500000000000003,0.0027304863221696445
rideable_type,自行车类型,0.015199999999999991,0.004701536391908975
distance_bin,距离分箱,0.014399999999999991,0.003702251567177264
time_period,一天内时间段,0.012166666666666659,0.0031657893521556727
start_station_id,起点站点编号,0.01213333333333333,0.0030720966419984013
start_station_missing,起点站点是否缺失,0.008066666666666689,0.0029713446264088713
is_round_trip,是否近似环线骑行,0.0070666666666666655,0.0009637888196533872
source_month,月份,0.006933333333333347,0.002059126028197394
hour_cat,开始小时,0.006466666666666665,0.0010666666666666789
speed_bin,速度分箱,0.005733333333333368,0.00222760459288047
is_weekend,是否周末,0.005533333333333346,0.0013055437351710637
is_commute_peak,是否通勤高峰,0.005333333333333324,0.001059349905471372
month_sin,月份周期特征,0.005266666666666664,0.0026449112566503084
duration_min,骑行时长,0.004400000000000004,0.004606275912033243
hour_cos,小时周期特征,0.004233333333333334,0.003789752263964234
season,季节,0.004033333333333333,0.0036444783196257695
route_grid,起终点网格组合,0.0035666666666666737,0.0027820855486487303
distance_km,起终点直线距离,0.0029333333333333433,0.0009695359714832774
month_cos,月份周期特征,0.0025333333333333206,0.0021535500406950703
start_lat,起点纬度,0.0024666666666666613,0.0020477630071210344
end_lat,终点纬度,0.00196666666666665,0.002229598867758742
duration_bin,骑行时长分箱,0.001566666666666694,0.0019049642749639423
start_lng,起点经度,0.0014000000000000013,0.0005228129047119236
end_lng,终点经度,0.0009666666666666712,0.0005099019513592876
weekday_cat,星期类别,0.0009333333333333416,0.0009921917377424651
hour_sin,小时周期特征,0.0002666666666666595,0.001276279314605095
lng_delta,东西方向位移,0.0,0.00021081851067786874
lat_delta,南北方向位移,-0.00010000000000001119,0.0003590109871422958
weekday_cos,星期周期特征,-0.0001666666666666705,0.0008819171036882257
weekday_sin,星期周期特征,-0.0006666666666666598,0.001178511301977597
