source_month,member_casual,count
2025-01,casual,2500
2025-01,member,2500
2025-02,casual,2500
2025-02,member,2500
2025-03,casual,2500
2025-03,member,2500
2025-04,casual,2500
2025-04,member,2500
2025-05,casual,2500
2025-05,member,2500
2025-06,casual,2500
2025-06,member,2500
2025-07,casual,2500
2025-07,member,2500
2025-08,casual,2500
2025-08,member,2500
2025-09,casual,2500
2025-09,member,2500
2025-10,casual,2500
2025-10,member,2500
2025-11,casual,2500
2025-11,member,2500
2025-12,casual,2500
2025-12,member,2500
